feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Hyaloscyphaceae_gen_Incertae_sedis	pH	acidic	0.029086335723736	0.00570521057430082	23	15	4.75492356599741e-05	0.000809822919833934
Serendipitaceae_gen_Incertae_sedis	pH	acidic	0.059659483615966	0.0118325240011129	23	19	5.42831766459219e-05	0.000896494887031135
Paraphoma	pH	acidic	-0.0439946255167443	0.00887666310255437	23	12	6.64710924314383e-05	0.00106549251103335
Cenococcum	pH	acidic	0.0439694671004304	0.00903555907858849	23	17	8.22436658146519e-05	0.00128065136768529
Phialocephala	pH	acidic	0.0561436609001119	0.0115777568984349	23	19	8.56259645494969e-05	0.00129628196331877
Blastocladiomycota_gen_Incertae_sedis	pH	acidic	0.0261772412201117	0.00549798828619983	23	15	0.000105524846918683	0.00154791385434378
Pleotrichocladium	pH	acidic	-0.0349463810973019	0.00735440068752708	23	12	0.000107927938468006	0.00154791385434378
GS04_gen_Incertae_sedis	pH	acidic	0.0115468158194537	0.00244750830055504	23	11	0.000117009422293439	0.00163513167051088
GS15_gen_Incertae_sedis	pH	acidic	0.0162762165001821	0.00348510781085999	23	11	0.000131031730485639	0.00170029269320651
Sclerococcum	pH	acidic	0.155917238030176	0.0333162097719482	23	16	0.000128040086962083	0.00170029269320651
Truncatella	pH	acidic	-0.0253520990298207	0.00541856856138362	23	12	0.000128399162266353	0.00170029269320651
Leccinum	pH	acidic	0.00920713093827415	0.00200045699056364	23	12	0.000153965069981559	0.00195141774744069
Pseudocoleophoma	pH	acidic	-0.0260481038129137	0.00569700241513234	23	12	0.000165486095230718	0.00204977095228958
Cosmospora	pH	acidic	-0.0189158316445041	0.00416969294315936	23	12	0.000180214588286521	0.0021825989025812
Galerina	pH	acidic	0.0133306366179373	0.00297639552156757	23	17	0.000206835336264488	0.00243490756449069
Mycena	pH	acidic	0.0359230666883337	0.00803205868305311	23	19	0.000209982854185436	0.00243490756449069
Cephalothecaceae_gen_Incertae_sedis	pH	acidic	0.0707856936453258	0.0163855985114279	23	18	0.000302289240654089	0.00343224241992664
Triscelophorus	pH	acidic	-0.0101251797604319	0.00235639721830567	23	9	0.00031946004780477	0.00355317808272652
Cyathicula	pH	acidic	0.0197605139702846	0.00469712370696168	23	15	0.000396138067455181	0.00431790493526147
Leptodophora	pH	acidic	-0.0472660412588442	0.0113138637315914	23	12	0.000424822859110028	0.00453977369048952
Verrucoccum	pH	acidic	-0.0125856689335275	0.00305670389022347	23	8	0.000490737277840238	0.00514330416197942
Sclerostagonospora	pH	acidic	-0.0319107602424015	0.00785778086766087	23	16	0.000561526216730794	0.00577418468147704
Cenangiaceae_gen_Incertae_sedis	pH	acidic	0.0132372853337768	0.00327416554792595	23	11	0.000586340134660806	0.0059176920998174
Cladoriellaceae_gen_Incertae_sedis	pH	acidic	0.0049153530465046	0.0012223899211756	23	9	0.000617769760205887	0.00612153671476742
Apiotrichum	pH	acidic	0.0498922345543473	0.0125935150175687	23	20	0.000711889140894508	0.00668930313426736
Dothiora	pH	acidic	0.00340835303031899	0.000859859159775887	23	10	0.000708310767142014	0.00668930313426736
Pseudohyphozyma	pH	acidic	0.00547310300593283	0.00137743201046678	23	10	0.000692321448031265	0.00668930313426736
Nothodactylaria	pH	acidic	-0.0080102096014393	0.00202824597102485	23	9	0.000733303521132558	0.00677373591554651
Chytridiales_gen_Incertae_sedis	pH	acidic	0.0170669764910892	0.00433772876945653	23	16	0.000759652505956997	0.00690017692910939
Hymenochaetales_gen_Incertae_sedis	pH	acidic	0.0242784513879078	0.00620281926164206	23	14	0.000797637298524083	0.00712643160156763
Fusarium	pH	acidic	-0.0715825307346502	0.0183696685472916	23	15	0.000831294052008162	0.00726348675691846
Kodamaea	pH	acidic	-0.0759839474750984	0.0195392411610191	23	19	0.000847294545889534	0.00726348675691846
Neonectria	pH	acidic	-0.0337178823099067	0.00868760604474738	23	14	0.000862875540733726	0.00726348675691846
Penicillium	pH	acidic	-0.172223574378328	0.0443933181603548	23	23	0.000866287411375596	0.00726348675691846
Sorocybe	pH	acidic	0.0075675697207264	0.00196959275775281	23	15	0.00094684258923916	0.00781862441114155
Scleropezicula	pH	acidic	0.00979911699211861	0.00256249919375155	23	11	0.000988700935166487	0.00804241805471247
Babjeviella	pH	acidic	0.0090836823892337	0.00241097322780913	23	12	0.00113081777296339	0.00906317185683891
GS22_gen_Incertae_sedis	pH	acidic	0.0144267845074879	0.00385515476792764	23	10	0.00120134808080628	0.00935628714976168
Trechispora	pH	acidic	0.0204900162768745	0.00547557692198742	23	21	0.00120172495501526	0.00935628714976168
Cladophialophora	pH	acidic	-0.15189559584432	0.0409338805324447	23	23	0.00129460228932801	0.00993744010822209
Ceratellopsis	pH	acidic	-0.0114083301831231	0.00314053941114979	23	10	0.00155842358532499	0.0116348062192071
Pulvinula	pH	acidic	-0.0242278988081139	0.00666020145543284	23	11	0.00153965837411137	0.0116348062192071
Tremella	pH	acidic	0.0110783863325529	0.00305988659322898	23	14	0.00160368246992104	0.0118109046771212
Cystoderma	pH	acidic	0.00763168060899633	0.00213949333650444	23	12	0.0018200674072413	0.0131109988004815
Fayodia	pH	acidic	0.0075500083548584	0.00212038750462543	23	9	0.00184771695249456	0.0131109988004815
Vestigium	pH	acidic	0.00350663545130676	0.000985118486997035	23	7	0.00185237964704051	0.0131109988004815
Flagellospora	pH	acidic	0.0129471045330618	0.00364613637834914	23	10	0.00189085393933164	0.0132018576736624
Flammula	pH	acidic	0.00576429715636479	0.00162565236256791	23	16	0.0019136637728795	0.0132018576736624
Gymnopilus	pH	acidic	0.0042235015020574	0.0012047392034939	23	8	0.00210367514611107	0.0141543574645745
Rhizosphaera	pH	acidic	0.0049220372972502	0.00140352598243331	23	10	0.0020978801778538	0.0141543574645745
Tetracladium	pH	acidic	-0.0797917505813367	0.022858484638056	23	15	0.00217970398139717	0.01448705694953
Schizothecium	pH	acidic	-0.0103446391232643	0.00298413459312296	23	10	0.00230726834360632	0.0151501355092222
Helvella	pH	acidic	-0.0290662542535649	0.0084083978714045	23	12	0.00236075317615973	0.0153167914405602
Pseudogymnoascus	pH	acidic	0.00952260674588266	0.0027680091833328	23	18	0.00245464822555328	0.0157386268579593
Diademospora	pH	acidic	0.0316019172833218	0.00924568921208618	23	11	0.00258627853759262	0.016389788406837
Bionectriaceae_gen_Incertae_sedis	pH	acidic	-0.0245588283334697	0.00722110463241613	23	11	0.00269186169424821	0.0168628117628192
Aspicilia	pH	acidic	0.00822040816640256	0.00243075903881132	23	9	0.00281559077283126	0.017437465581739
Plectosphaerella	pH	acidic	-0.0368146269781878	0.0110695979566874	23	11	0.00321078470718751	0.0196615468024404
Ceratobasidium	pH	acidic	-0.021380442907449	0.00649839916032067	23	18	0.00348946713707539	0.0199403871001882
Genolevuria	pH	acidic	0.0127244171470528	0.00386881815747993	23	13	0.0034987756636052	0.0199403871001882
Krasilnikovozyma	pH	acidic	0.00408553739600942	0.00123523558071006	23	8	0.0033506548966664	0.0199403871001882
Lachnellula	pH	acidic	0.0456138475370196	0.0139132047221522	23	23	0.00358561089140999	0.0199403871001882
Luellia	pH	acidic	0.0161021153380404	0.00488292385834388	23	11	0.00342868568626261	0.0199403871001882
Microsporomycetaceae_gen_Incertae_sedis	pH	acidic	0.0053792230471977	0.00163169760914957	23	10	0.00343617455923375	0.0199403871001882
Phomatospora	pH	acidic	-0.0190031228069648	0.00576721048960233	23	10	0.00344963515105093	0.0199403871001882
Sympoventuriaceae_gen_Incertae_sedis	pH	acidic	0.00687629137722971	0.00209376468687476	23	10	0.00353810716948037	0.0199403871001882
Syzygospora	pH	acidic	0.032290861667391	0.00984379090712864	23	18	0.00357000408613034	0.0199403871001882
Dermea	pH	acidic	0.0053191528186897	0.00162830795692714	23	8	0.00368545359292817	0.0202886081630894
Rhizopogon	pH	acidic	-0.0585966213216378	0.0182918641899025	23	23	0.00426944538596095	0.0232684773534872
Tolypocladium	pH	acidic	0.0315119101995178	0.00990967410523828	23	17	0.00450868880672366	0.0243290633630138
Babjevia	pH	acidic	0.032906996443391	0.0103883779558363	23	23	0.00463833452196083	0.0247832579849868
Siepmannia	pH	acidic	0.0104058185042558	0.0033012085733019	23	8	0.00480826902814959	0.025441811847976
Ophiocordycipitaceae_gen_Incertae_sedis	pH	acidic	0.00529745163533497	0.00168311644704241	23	8	0.00486100402468406	0.0254735307062771
Yamadamyces	pH	acidic	0.00301228888021587	0.000962665338710708	23	9	0.00507085044407311	0.0263201284954271
Dictyolus	pH	acidic	0.00310511017098136	0.000995449228793877	23	7	0.0051869445476889	0.0266687243253816
Hirsutella	pH	acidic	0.00454931825684993	0.00146475094721078	23	8	0.00535022667429328	0.0272511545559798
Endogonomycetes_gen_Incertae_sedis	pH	acidic	0.00783418224577641	0.00254244981188862	23	7	0.0056609085341065	0.0285666217693337
Dothiorella	pH	acidic	0.00550495485959675	0.00179466927809177	23	14	0.00584555047696231	0.0292277523848116
Entimomentora	pH	acidic	-0.0213550263343602	0.00700275832030471	23	10	0.00609050354712269	0.0301756766652897
Lecythophora	pH	acidic	-0.0396591753038338	0.0130257622084018	23	14	0.0061585717259856	0.0302380323483077
Chaetosphaeria	pH	acidic	0.015969706259831	0.00527892451039806	23	11	0.00643992627003672	0.0310598213908851
Oidiodendron	pH	acidic	0.0868453762161455	0.0287034574984865	23	23	0.00643366078986886	0.0310598213908851
Rhodotorula	pH	acidic	0.0089356251607145	0.00296266481372362	23	10	0.00657556701481476	0.0314358247638074
Mycosphaerellales_gen_Incertae_sedis	pH	acidic	-0.0186501132150017	0.0062403912238977	23	9	0.00700159488002877	0.0326599592018699
Oliveonia	pH	acidic	-0.0196335304337676	0.00657079420674452	23	12	0.00701140408553903	0.0326599592018699
Preussia	pH	acidic	-0.0405847682236935	0.0135799991782412	23	21	0.0070022910868073	0.0326599592018699
Herpotrichia	pH	acidic	-0.0138059160024448	0.00463527370106506	23	13	0.00716592980106184	0.0330968791659212
Monoblepharomycota_gen_Incertae_sedis	pH	acidic	0.00301095514143868	0.00103255312531685	23	6	0.00825913677185271	0.0378254583248717
Aphanocladium	pH	acidic	0.00288111386923625	0.000992614879017822	23	8	0.00851539425222996	0.0383544617145895
Micarea	pH	acidic	0.00557560428109824	0.00191868553994295	23	7	0.00845004003823957	0.0383544617145895
Mortierellomycetes_gen_Incertae_sedis	pH	acidic	0.0061111107874881	0.00211786551895479	23	8	0.00885034517997406	0.039214944090129
Rhizophagus	pH	acidic	-0.00625479017450415	0.00216754147298704	23	7	0.00884721345217785	0.039214944090129
Micropeltidaceae_gen_Incertae_sedis	pH	acidic	0.00415766484533425	0.0014454474670317	23	8	0.0090346779463032	0.0397088667801229
Glutinomyces	pH	acidic	0.03476100075853	0.0121184834119095	23	17	0.00919853818185238	0.0401056264728764
Branch01_gen_Incertae_sedis	pH	acidic	0.0313991518434315	0.0110037006979628	23	12	0.0095134501825096	0.0402663127765463
Crocicreas	pH	acidic	0.0104024089624933	0.00365410356756707	23	12	0.0096589297007185	0.0402663127765463
Kurtzmaniella	pH	acidic	-0.00870992128578406	0.00306055075831006	23	15	0.00967869169491297	0.0402663127765463
Kurtzmanomyces	pH	acidic	-0.021694217410452	0.00761358079680493	23	10	0.0096017290735387	0.0402663127765463
Pseudoplectania	pH	acidic	0.0385304560037881	0.0135230240832011	23	17	0.00960523617558295	0.0402663127765463
Tylospora	pH	acidic	0.091303707096648	0.0319975980058303	23	23	0.00951459381860717	0.0402663127765463
Hamatocanthoscypha	pH	acidic	-0.0167754227642275	0.00592723787153098	23	9	0.0100255295403536	0.0410820571390428
Herpotrichiellaceae_gen_Incertae_sedis	pH	acidic	0.0640405590238613	0.0226155809699962	23	20	0.00999232650848838	0.0410820571390428
Achroceratosphaeria	pH	acidic	-0.00741901137124221	0.00262685857039755	23	5	0.0101602287411952	0.041323318387697
Synnemapestaloides	pH	acidic	0.0111920486224261	0.00399156849863037	23	11	0.0106356886753669	0.0429366690968517
Cladosporium	pH	acidic	-0.0837523635452537	0.0299625847037993	23	23	0.0108449543049784	0.0429949209819751
Endogonales_gen_Incertae_sedis	pH	acidic	0.00475166503366754	0.00170096373165544	23	8	0.0108867873312157	0.0429949209819751
Tremellomycetes_gen_Incertae_sedis	pH	acidic	0.00644653090404195	0.00230734328340041	23	8	0.0108768919370748	0.0429949209819751
Phaeotremella	pH	acidic	0.0044421056981445	0.00159484893760092	23	11	0.0110893166197382	0.0434796946601247
Haplographium	pH	acidic	0.00594082997925806	0.00213947052425395	23	8	0.0113024249956785	0.0439987258760342
Cryptococcus	pH	acidic	-0.100526589249121	0.0363865863832221	23	22	0.0116626286087966	0.0447614971253109
Thelephora	pH	acidic	-0.0447823530961144	0.0162037839026406	23	23	0.0116376607073276	0.0447614971253109
Septoria	pH	acidic	-0.0121772884665135	0.00441886484191132	23	9	0.011845953578336	0.0451471657356163
Lentitheciaceae_gen_Incertae_sedis	pH	acidic	-0.00750499510892712	0.0027472448783037	23	7	0.0124946169698464	0.0472886545039326
Sporormiaceae_gen_Incertae_sedis	pH	acidic	-0.00937309940671793	0.00344809045350437	23	6	0.0128748350846974	0.0483916215252421
Lyomyces	pH	acidic	-0.00423288630314294	0.00157375721970692	23	7	0.0137203904010064	0.051216525811976
Ochroconis	pH	acidic	-0.018497594800131	0.00689707327524431	23	17	0.0139568790962609	0.0517448918874981
Chaetospermum	pH	acidic	-0.0112017741840655	0.0041948318552728	23	6	0.0143186081839408	0.0524368190791157
Drechmeria	pH	acidic	-0.00503787005167727	0.00188696460627376	23	11	0.0143359376931894	0.0524368190791157
Microdochium	pH	acidic	-0.0273803809953255	0.0102851595026113	23	11	0.0145818527269425	0.0526298658025407
Tympanidaceae_gen_Incertae_sedis	pH	acidic	0.0337114562500501	0.0126564942169893	23	20	0.0145354243491489	0.0526298658025407
GS12_gen_Incertae_sedis	pH	acidic	0.0316172129474181	0.0119022649719059	23	16	0.014767113236471	0.0529478731176097
Pyronemataceae_gen_Incertae_sedis	pH	acidic	0.0219367520261823	0.00827989979551482	23	18	0.0149969322664235	0.0534204450013124
Ballistosporomyces	pH	acidic	0.0056189536658574	0.00213646956508711	23	6	0.0156504866985963	0.055029130649903
Nadsonia	pH	acidic	0.0144609991952672	0.0054939524731107	23	12	0.015576725146615	0.055029130649903
Coccomyces	pH	acidic	0.00811620114035798	0.00310915987535856	23	7	0.0163387729447733	0.0570809695827015
Myriosclerotinia	pH	acidic	0.00163742443767867	0.00062966006195205	23	5	0.0166981026703214	0.0579647513078037
Calycellina	pH	acidic	0.00293543972353841	0.00113436196223226	23	5	0.0171703412577537	0.0592268100346569
Hypocreales_gen_Incertae_sedis	pH	acidic	0.00901883880140637	0.00349780659338556	23	8	0.0175235411802746	0.0600649681965387
Xenopolyscytalum	pH	acidic	-0.0155334487565783	0.00603657907896704	23	11	0.0177238502273279	0.0603718648368357
Ceratobasidiaceae_gen_Incertae_sedis	pH	acidic	-0.0256070117771076	0.00998796217553575	23	10	0.0180922540755686	0.0612439656595335
Occultifur	pH	acidic	0.0352755531091301	0.0137943105239573	23	17	0.0183516220434758	0.0617384815660143
Psoroglaena	pH	acidic	-0.0222514135678332	0.00874957214785273	23	9	0.0189237304059834	0.0632725955292082
Sakaguchia	pH	acidic	-0.00788330315851642	0.00310548696166126	23	11	0.019115277563933	0.0635233309289236
Auriculariales_gen_Incertae_sedis	pH	acidic	0.00244245034353013	0.00096738262244878	23	5	0.0196923166700544	0.0650443186980585
Renatobasidium	pH	acidic	0.00576361080226298	0.0023053044854274	23	8	0.0207714575088963	0.0681954478454726
Ceraceomyces	pH	acidic	0.0155899164749608	0.00624308830040411	23	11	0.0209066528056045	0.0682034415716475
Venturia	pH	acidic	0.0151514156276955	0.00607380254496241	23	22	0.0210241801541959	0.0682034415716475
Dictyosporiaceae_gen_Incertae_sedis	pH	acidic	-0.0128402228169797	0.00516012246654043	23	7	0.0213071419045407	0.068712380698075
Clavulinopsis	pH	acidic	0.00829043358110158	0.00333652893098666	23	14	0.0214735662385177	0.0688417270587774
Lecanoromycetes_gen_Incertae_sedis	pH	acidic	0.00122955158132494	0.000495410343719916	23	5	0.0216064729493996	0.0688627354235249
Umbelopsidomycetes_gen_Incertae_sedis	pH	acidic	0.0112121710712278	0.0045556137495218	23	8	0.0225909427239415	0.0715817661892331
Basidiobolus	pH	acidic	0.00440636999322737	0.00180817989744285	23	5	0.0237977487771318	0.0739061756700157
Colpoma	pH	acidic	0.0052237104642515	0.00214392490681363	23	7	0.0238177058910848	0.0739061756700157
Trichosporiella	pH	acidic	-0.00369674945157458	0.00151460953666137	23	6	0.0236039594356411	0.0739061756700157
Zygorhynchus	pH	acidic	-0.00397195620388455	0.00163082348733309	23	8	0.0238669484732528	0.0739061756700157
Pseudocyclothyriella	pH	acidic	-0.00337903857411688	0.00139124743514852	23	5	0.0242150496125996	0.0745604634964225
Taeniolella	pH	acidic	-0.0047639220431599	0.00196483807032795	23	5	0.0244331744919315	0.0748094387533859
Eurotiales_gen_Incertae_sedis	pH	acidic	0.0112331020840232	0.00465876857739668	23	7	0.0251428117583865	0.0765521363593331
Pholiota	pH	acidic	0.00294012270952279	0.00122239867029288	23	5	0.0254645659294153	0.0771010468418408
Cadophora	pH	acidic	-0.0217854241309056	0.00910268083716267	23	23	0.026118301565751	0.0773734881198581
Fuscolachnum	pH	acidic	0.00486266133697357	0.00202870800463278	23	5	0.0259175566853803	0.0773734881198581
Glomeromycota_gen_Incertae_sedis	pH	acidic	0.0120835863701016	0.00504101944619343	23	17	0.0259105588381277	0.0773734881198581
Nectriella	pH	acidic	-0.0470777701528529	0.0196712815278805	23	12	0.0261224253468879	0.0773734881198581
Clavaria	pH	acidic	0.0460035821503722	0.0192941788101346	23	17	0.0266210628598233	0.0780025766591596
Helotiales_gen_Incertae_sedis	pH	acidic	0.056543820931657	0.0237061223942561	23	22	0.0265716670162866	0.0780025766591596
Plectosphaerellaceae_gen_Incertae_sedis	pH	acidic	-0.00450633342520383	0.00189232932172125	23	5	0.0267886356243888	0.0780738310978176
Filobasidiales_gen_Incertae_sedis	pH	acidic	0.0165608204168797	0.00696340720332226	23	12	0.0269656820533585	0.0781717910589382
Diddensiella	pH	acidic	-0.0081654513272065	0.00344144749639855	23	5	0.0272868932748432	0.0786844276972991
GS18_ord_Incertae_sedis_gen_Incertae_sedis	pH	acidic	0.00651587981310548	0.00274969075254966	23	8	0.0274610184001589	0.0787697633057189
Lipomycetaceae_gen_Incertae_sedis	pH	acidic	0.00220013014139038	0.00093153332292578	23	5	0.0279206191707664	0.0789686705262458
Septoglomus	pH	acidic	-0.00731210814758775	0.00309692622528106	23	4	0.0279650521313127	0.0789686705262458
Vishniacozyma	pH	acidic	-0.0323917152925648	0.0137113151260494	23	20	0.0278869471532364	0.0789686705262458
Chloridium	pH	acidic	0.0230790424336152	0.00981300066027749	23	14	0.0285143239465178	0.0792872783206745
Mortierellales_gen_Incertae_sedis	pH	acidic	-0.0112404623752161	0.00477605620167205	23	8	0.0284169839766079	0.0792872783206745
Sordariales_gen_Incertae_sedis	pH	acidic	-0.094578640757795	0.0401539496990367	23	22	0.0283032500570249	0.0792872783206745
Davidhawksworthia	pH	acidic	0.00204793691423764	0.000877932902625209	23	5	0.0296929152222536	0.0819258755968832
Paraleptosphaeria	pH	acidic	-0.00209549983715218	0.000898759631860769	23	4	0.0297638960884089	0.0819258755968832
Cutaneotrichosporon	pH	acidic	-0.0156210581641707	0.00674091818443156	23	9	0.0306659213664844	0.0833747072449635
Neosetophoma	pH	acidic	-0.012786206165038	0.00552631794125037	23	8	0.0309021850706103	0.0833747072449635
Perennicordyceps	pH	acidic	0.00379729041960542	0.00163900139171624	23	7	0.0306992381271227	0.0833747072449635
Sporormiella	pH	acidic	-0.0235348696735702	0.0101719838968395	23	19	0.030902082013698	0.0833747072449635
Tyrannosorus	pH	acidic	0.0205217607814566	0.00890435845925296	23	21	0.0314915046726786	0.0845461578650732
Pycnora	pH	acidic	0.00351607585470604	0.00152911767983256	23	12	0.0318412721249748	0.0850661436672122
Myxozyma	pH	acidic	0.0668840132690136	0.0291833557697222	23	23	0.0323490362872767	0.0859507420748281
Polyphilus	pH	acidic	-0.00142530323191736	0.000623009611585734	23	4	0.0326264128500009	0.0859507420748281
Pseudovalsaria	pH	acidic	0.00210877664073505	0.000921873262360643	23	8	0.0326455112100723	0.0859507420748281
Colletotrichum	pH	acidic	-0.00729550962706947	0.00320454276453279	23	8	0.0333952843735206	0.0870833970505681
Infundichalara	pH	acidic	-0.0270310551497228	0.0118615653831363	23	22	0.0332380074756191	0.0870833970505681
Mallocybe	pH	acidic	-0.0795875794382867	0.0352666857959784	23	16	0.0348066764779319	0.0894794277380797
Mollisia	pH	acidic	0.00738033751587567	0.00326446251944123	23	18	0.0345128402908556	0.0894794277380797
Peniophorella	pH	acidic	0.00801779647320704	0.00355154168149973	23	8	0.0347475115097554	0.0894794277380797
Fungi_gen_Incertae_sedis	pH	acidic	-0.0142573749401989	0.00637163744538088	23	23	0.0362142756005432	0.0926353303313338
Lachnum	pH	acidic	0.00580815591600926	0.00259838647767526	23	13	0.0363900610658629	0.0926353303313338
Myrothecium	pH	acidic	-0.0042982492980043	0.00192465968123235	23	4	0.0365442128830032	0.0926353303313338
Calycina	pH	acidic	-0.0248236899824244	0.0111990511416755	23	16	0.0378247424978806	0.0941300669467805
Dissoderma	pH	acidic	0.00717746631424866	0.0032363037952096	23	7	0.0377304902932515	0.0941300669467805
Inocybe	pH	acidic	-0.0724644102828868	0.0326345951714373	23	22	0.0375222195992079	0.0941300669467805
Trichobolus	pH	acidic	-0.00215614512492406	0.000972411672210366	23	4	0.0377679117018527	0.0941300669467805
Cystobasidiales_gen_Incertae_sedis	pH	acidic	0.00343687143879947	0.00156778768449493	23	10	0.0397745427282894	0.0985323899405351
Acarospora	pH	acidic	0.0321368420579279	0.0146989671051493	23	13	0.0402548692185509	0.0992120972920669
GS35_ord_Incertae_sedis_gen_Incertae_sedis	pH	acidic	-0.00137833731273274	0.000630984706155273	23	4	0.0404130010987869	0.0992120972920669
Malassezia	pH	acidic	-0.0105594421739595	0.00485731345741906	23	17	0.0412918148909257	0.0995753943166129
Sepedonium	pH	acidic	-0.0129901271736181	0.00596925977736419	23	11	0.0411024804498488	0.0995753943166129
Thaxterogaster	pH	acidic	0.0229290313975202	0.0105278913470833	23	15	0.0409544166525655	0.0995753943166129
Trichoderma	pH	acidic	-0.0296035862598258	0.0136058781108463	23	23	0.0411342033499711	0.0995753943166129
Bacidina	pH	acidic	-0.0227190887558163	0.0104731335198589	23	6	0.0416869304844641	0.0996463908510216
Hypogymnia	pH	acidic	0.00265516207542979	0.00122313643829936	23	8	0.0415584799682445	0.0996463908510216
Basidiodendron	pH	acidic	0.00585583473404775	0.00271546808530065	23	6	0.0427915714678513	0.100839905210199
Claussenomyces	pH	acidic	0.0109858053924136	0.00509798166476846	23	14	0.042926344970213	0.100839905210199
Gryganskiella	pH	acidic	0.0119795479751735	0.00555317750067518	23	9	0.0427244965279237	0.100839905210199
Pucciniales_gen_Incertae_sedis	pH	acidic	0.00222058210223132	0.00103041032901211	23	4	0.0429163514047313	0.100839905210199
Byssoporia	pH	acidic	0.00196188216125876	0.000912980988037288	23	6	0.0434597920546659	0.101337442682154
Laetinaevia	pH	acidic	-0.0249578837943525	0.0116174591545636	23	16	0.0435100212616956	0.101337442682154
Mrakiaceae_gen_Incertae_sedis	pH	acidic	0.00208400351944307	0.000975559383607316	23	4	0.0445942880556977	0.103420795703639
GS08_gen_Incertae_sedis	pH	acidic	0.00345399710353795	0.00162755898726554	23	9	0.0458816498861114	0.105955505033605
Sympodiella	pH	acidic	-0.0146629089831361	0.00693243081979423	23	13	0.0465441649251959	0.107031940439796
Dioszegia	pH	acidic	-0.0107441586331859	0.00509347614281989	23	7	0.0470861364519523	0.107823295656782
Agaricales_gen_Incertae_sedis	pH	acidic	0.00339258568889844	0.00161248101837337	23	5	0.0476068911732596	0.108302500377585
